#,Name,Hit Points,Attack,Defense,Sp. Atk,Sp. Def,Speed,Legendary
105,Drowzee,60,48,45,43,90,42,0
106,Hypno,85,73,70,73,115,67,0
107,Krabby,30,105,90,25,25,50,0
108,Kingler,55,130,115,50,50,75,0
109,Voltorb,40,30,50,55,55,100,0
110,Electrode,60,50,70,80,80,140,0
111,Exeggcute,60,40,80,60,45,40,0
112,Exeggutor,95,95,85,125,65,55,0
113,Cubone,50,50,95,40,50,35,0
114,Marowak,60,80,110,50,80,45,0
115,Hitmonlee,50,120,53,35,110,87,0
116,Hitmonchan,50,105,79,35,110,76,0
117,Lickitung,90,55,75,60,75,30,0
118,Koffing,40,65,95,60,45,35,0
119,Weezing,65,90,120,85,70,60,0
120,Rhyhorn,80,85,95,30,30,25,0
121,Rhydon,105,130,120,45,45,40,0
122,Chansey,250,5,5,35,105,50,0
123,Tangela,65,55,115,100,40,60,0
124,Kangaskhan,105,95,80,40,80,90,0
125,Mega Kangaskhan,105,125,100,60,100,100,0
126,Horsea,30,40,70,70,25,60,0
127,Seadra,55,65,95,95,45,85,0
128,Goldeen,45,67,60,35,50,63,0
129,Seaking,80,92,65,65,80,68,0
130,Staryu,30,45,55,70,55,85,0
131,Starmie,60,75,85,100,85,115,0
132,Mr. Mime,40,45,65,100,120,90,0
133,Scyther,70,110,80,55,80,105,0
134,Jynx,65,50,35,115,95,95,0
135,Electabuzz,65,83,57,95,85,105,0
136,Magmar,65,95,57,100,85,93,0
137,Pinsir,65,125,100,55,70,85,0
138,Mega Pinsir,65,155,120,65,90,105,0
139,Tauros,75,100,95,40,70,110,0
140,Magikarp,20,10,55,15,20,80,0
141,Gyarados,95,125,79,60,100,81,0
142,Mega Gyarados,95,155,109,70,130,81,0
143,Lapras,130,85,80,85,95,60,0
144,Ditto,48,48,48,48,48,48,0
145,Eevee,55,55,50,45,65,55,0
146,Vaporeon,130,65,60,110,95,65,0
147,Jolteon,65,65,60,110,95,130,0
148,Flareon,65,130,60,95,110,65,0
149,Porygon,65,60,70,85,75,40,0
150,Omanyte,35,40,100,90,55,35,0
151,Omastar,70,60,125,115,70,55,0
152,Kabuto,30,80,90,55,45,55,0
153,Kabutops,60,115,105,65,70,80,0
154,Aerodactyl,80,105,65,60,75,130,0
155,Mega Aerodactyl,80,135,85,70,95,150,0
156,Snorlax,160,110,65,65,110,30,0
157,Articuno,90,85,100,95,125,85,1
158,Zapdos,90,90,85,125,90,100,1
159,Moltres,90,100,90,125,85,90,1
160,Dratini,41,64,45,50,50,50,0
161,Dragonair,61,84,65,70,70,70,0
162,Dragonite,91,134,95,100,100,80,0
163,Mewtwo,106,110,90,154,90,130,1
164,Mega Mewtwo X,106,190,100,154,100,130,1
165,Mega Mewtwo Y,106,150,70,194,120,140,1
166,Mew,100,100,100,100,100,100,0
167,Chikorita,45,49,65,49,65,45,0
168,Bayleef,60,62,80,63,80,60,0
169,Meganium,80,82,100,83,100,80,0
170,Cyndaquil,39,52,43,60,50,65,0
171,Quilava,58,64,58,80,65,80,0
172,Typhlosion,78,84,78,109,85,100,0
173,Totodile,50,65,64,44,48,43,0
174,Croconaw,65,80,80,59,63,58,0
175,Feraligatr,85,105,100,79,83,78,0
176,Sentret,35,46,34,35,45,20,0
177,Furret,85,76,64,45,55,90,0
178,Hoothoot,60,30,30,36,56,50,0
179,Noctowl,100,50,50,76,96,70,0
180,Ledyba,40,20,30,40,80,55,0
181,Ledian,55,35,50,55,110,85,0
182,Spinarak,40,60,40,40,40,30,0
183,Ariados,70,90,70,60,60,40,0
184,Crobat,85,90,80,70,80,130,0
185,Chinchou,75,38,38,56,56,67,0
186,Lanturn,125,58,58,76,76,67,0
187,Pichu,20,40,15,35,35,60,0
188,Cleffa,50,25,28,45,55,15,0
189,Igglybuff,90,30,15,40,20,15,0
190,Togepi,35,20,65,40,65,20,0
191,Togetic,55,40,85,80,105,40,0
192,Natu,40,50,45,70,45,70,0
193,Xatu,65,75,70,95,70,95,0
194,Mareep,55,40,40,65,45,35,0
195,Flaaffy,70,55,55,80,60,45,0
196,Ampharos,90,75,85,115,90,55,0
197,Mega Ampharos,90,95,105,165,110,45,0
198,Bellossom,75,80,95,90,100,50,0
199,Marill,70,20,50,20,50,40,0
200,Azumarill,100,50,80,60,80,50,0
201,Sudowoodo,70,100,115,30,65,30,0
202,Politoed,90,75,75,90,100,70,0
203,Hoppip,35,35,40,35,55,50,0
204,Skiploom,55,45,50,45,65,80,0
205,Jumpluff,75,55,70,55,95,110,0
206,Aipom,55,70,55,40,55,85,0
207,Sunkern,30,30,30,30,30,30,0
208,Sunflora,75,75,55,105,85,30,0
209,Yanma,65,65,45,75,45,95,0
210,Wooper,55,45,45,25,25,15,0
211,Quagsire,95,85,85,65,65,35,0
212,Espeon,65,65,60,130,95,110,0
213,Umbreon,95,65,110,60,130,65,0
214,Murkrow,60,85,42,85,42,91,0
215,Slowking,95,75,80,100,110,30,0
216,Misdreavus,60,60,60,85,85,85,0
217,Unown,48,72,48,72,48,48,0
218,Wobbuffet,190,33,58,33,58,33,0
219,Girafarig,70,80,65,90,65,85,0
220,Pineco,50,65,90,35,35,15,0
221,Forretress,75,90,140,60,60,40,0
222,Dunsparce,100,70,70,65,65,45,0
223,Gligar,65,75,105,35,65,85,0
224,Steelix,75,85,200,55,65,30,0
225,Mega Steelix,75,125,230,55,95,30,0
226,Snubbull,60,80,50,40,40,30,0
227,Granbull,90,120,75,60,60,45,0
228,Qwilfish,65,95,75,55,55,85,0
229,Scizor,70,130,100,55,80,65,0
230,Mega Scizor,70,150,140,65,100,75,0
231,Shuckle,20,10,230,10,230,5,0
232,Heracross,80,125,75,40,95,85,0
233,Mega Heracross,80,185,115,40,105,75,0
234,Sneasel,55,95,55,35,75,115,0
235,Teddiursa,60,80,50,50,50,40,0
236,Ursaring,90,130,75,75,75,55,0
237,Slugma,40,40,40,70,40,20,0
238,Magcargo,50,50,120,80,80,30,0
239,Swinub,50,50,40,30,30,50,0
240,Piloswine,100,100,80,60,60,50,0
241,Corsola,55,55,85,65,85,35,0
242,Remoraid,35,65,35,65,35,65,0
243,Octillery,75,105,75,105,75,45,0
244,Delibird,45,55,45,65,45,75,0
245,Mantine,65,40,70,80,140,70,0
246,Skarmory,65,80,140,40,70,70,0
247,Houndour,45,60,30,80,50,65,0
248,Houndoom,75,90,50,110,80,95,0
249,Mega Houndoom,75,90,90,140,90,115,0
250,Kingdra,75,95,95,95,95,85,0
251,Phanpy,90,60,60,40,40,40,0
252,Donphan,90,120,120,60,60,50,0
253,Porygon2,85,80,90,105,95,60,0
254,Stantler,73,95,62,85,65,85,0
255,Smeargle,55,20,35,20,45,75,0
256,Tyrogue,35,35,35,35,35,35,0
257,Hitmontop,50,95,95,35,110,70,0
258,Smoochum,45,30,15,85,65,65,0
259,Elekid,45,63,37,65,55,95,0
260,Magby,45,75,37,70,55,83,0
261,Miltank,95,80,105,40,70,100,0
262,Blissey,255,10,10,75,135,55,0
263,Raikou,90,85,75,115,100,115,1
264,Entei,115,115,85,90,75,100,1
265,Suicune,100,75,115,90,115,85,1
266,Larvitar,50,64,50,45,50,41,0
267,Pupitar,70,84,70,65,70,51,0
268,Tyranitar,100,134,110,95,100,61,0
269,Mega Tyranitar,100,164,150,95,120,71,0
270,Lugia,106,90,130,90,154,110,1
271,Ho-oh,106,130,90,110,154,90,1
272,Celebi,100,100,100,100,100,100,0
273,Treecko,40,45,35,65,55,70,0
274,Grovyle,50,65,45,85,65,95,0
275,Sceptile,70,85,65,105,85,120,0
276,Mega Sceptile,70,110,75,145,85,145,0
277,Torchic,45,60,40,70,50,45,0
278,Combusken,60,85,60,85,60,55,0
279,Blaziken,80,120,70,110,70,80,0
280,Mega Blaziken,80,160,80,130,80,100,0
281,Mudkip,50,70,50,50,50,40,0
282,Marshtomp,70,85,70,60,70,50,0
283,Swampert,100,110,90,85,90,60,0
284,Mega Swampert,100,150,110,95,110,70,0
285,Poochyena,35,55,35,30,30,35,0
286,Mightyena,70,90,70,60,60,70,0
287,Zigzagoon,38,30,41,30,41,60,0
288,Linoone,78,70,61,50,61,100,0
289,Wurmple,45,45,35,20,30,20,0
290,Silcoon,50,35,55,25,25,15,0
291,Beautifly,60,70,50,100,50,65,0
292,Cascoon,50,35,55,25,25,15,0
293,Dustox,60,50,70,50,90,65,0
294,Lotad,40,30,30,40,50,30,0
295,Lombre,60,50,50,60,70,50,0
296,Ludicolo,80,70,70,90,100,70,0
297,Seedot,40,40,50,30,30,30,0
298,Nuzleaf,70,70,40,60,40,60,0
299,Shiftry,90,100,60,90,60,80,0
300,Taillow,40,55,30,30,30,85,0
301,Swellow,60,85,60,50,50,125,0
302,Wingull,40,30,30,55,30,85,0
303,Pelipper,60,50,100,85,70,65,0
304,Ralts,28,25,25,45,35,40,0
305,Kirlia,38,35,35,65,55,50,0
306,Gardevoir,68,65,65,125,115,80,0
307,Mega Gardevoir,68,85,65,165,135,100,0
308,Surskit,40,30,32,50,52,65,0
309,Masquerain,70,60,62,80,82,60,0
310,Shroomish,60,40,60,40,60,35,0
311,Breloom,60,130,80,60,60,70,0
312,Slakoth,60,60,60,35,35,30,0
313,Vigoroth,80,80,80,55,55,90,0
314,Slaking,150,160,100,95,65,100,0
315,Nincada,31,45,90,30,30,40,0
316,Ninjask,61,90,45,50,50,160,0
317,Shedinja,1,90,45,30,30,40,0
318,Whismur,64,51,23,51,23,28,0
319,Loudred,84,71,43,71,43,48,0
320,Exploud,104,91,63,91,73,68,0
321,Makuhita,72,60,30,20,30,25,0
322,Hariyama,144,120,60,40,60,50,0
323,Azurill,50,20,40,20,40,20,0
324,Nosepass,30,45,135,45,90,30,0
325,Skitty,50,45,45,35,35,50,0
326,Delcatty,70,65,65,55,55,70,0
327,Sableye,50,75,75,65,65,50,0
328,Mega Sableye,50,85,125,85,115,20,0
329,Mawile,50,85,85,55,55,50,0
330,Mega Mawile,50,105,125,55,95,50,0
331,Aron,50,70,100,40,40,30,0
332,Lairon,60,90,140,50,50,40,0
333,Aggron,70,110,180,60,60,50,0
334,Mega Aggron,70,140,230,60,80,50,0
335,Meditite,30,40,55,40,55,60,0
336,Medicham,60,60,75,60,75,80,0
337,Mega Medicham,60,100,85,80,85,100,0
338,Electrike,40,45,40,65,40,65,0
339,Manectric,70,75,60,105,60,105,0
340,Mega Manectric,70,75,80,135,80,135,0
341,Plusle,60,50,40,85,75,95,0
342,Minun,60,40,50,75,85,95,0
343,Volbeat,65,73,55,47,75,85,0
344,Illumise,65,47,55,73,75,85,0
345,Roselia,50,60,45,100,80,65,0
346,Gulpin,70,43,53,43,53,40,0
347,Swalot,100,73,83,73,83,55,0
348,Carvanha,45,90,20,65,20,65,0
349,Sharpedo,70,120,40,95,40,95,0
350,Mega Sharpedo,70,140,70,110,65,105,0
351,Wailmer,130,70,35,70,35,60,0
352,Wailord,170,90,45,90,45,60,0
353,Numel,60,60,40,65,45,35,0
354,Camerupt,70,100,70,105,75,40,0
355,Mega Camerupt,70,120,100,145,105,20,0
356,Torkoal,70,85,140,85,70,20,0
357,Spoink,60,25,35,70,80,60,0
358,Grumpig,80,45,65,90,110,80,0
359,Spinda,60,60,60,60,60,60,0
360,Trapinch,45,100,45,45,45,10,0
361,Vibrava,50,70,50,50,50,70,0
362,Flygon,80,100,80,80,80,100,0
363,Cacnea,50,85,40,85,40,35,0
364,Cacturne,70,115,60,115,60,55,0
365,Swablu,45,40,60,40,75,50,0
366,Altaria,75,70,90,70,105,80,0
367,Mega Altaria,75,110,110,110,105,80,0
368,Zangoose,73,115,60,60,60,90,0
369,Seviper,73,100,60,100,60,65,0
370,Lunatone,70,55,65,95,85,70,0
371,Solrock,70,95,85,55,65,70,0
372,Barboach,50,48,43,46,41,60,0
373,Whiscash,110,78,73,76,71,60,0
374,Corphish,43,80,65,50,35,35,0
375,Crawdaunt,63,120,85,90,55,55,0
376,Baltoy,40,40,55,40,70,55,0
377,Claydol,60,70,105,70,120,75,0
378,Lileep,66,41,77,61,87,23,0
379,Cradily,86,81,97,81,107,43,0
380,Anorith,45,95,50,40,50,75,0
381,Armaldo,75,125,100,70,80,45,0
382,Feebas,20,15,20,10,55,80,0
383,Milotic,95,60,79,100,125,81,0
384,Castform,70,70,70,70,70,70,0
385,Kecleon,60,90,70,60,120,40,0
386,Shuppet,44,75,35,63,33,45,0
387,Banette,64,115,65,83,63,65,0
388,Mega Banette,64,165,75,93,83,75,0
389,Duskull,20,40,90,30,90,25,0
390,Dusclops,40,70,130,60,130,25,0
391,Tropius,99,68,83,72,87,51,0
392,Chimecho,65,50,70,95,80,65,0
393,Absol,65,130,60,75,60,75,0
394,Mega Absol,65,150,60,115,60,115,0
395,Wynaut,95,23,48,23,48,23,0
396,Snorunt,50,50,50,50,50,50,0
397,Glalie,80,80,80,80,80,80,0
398,Mega Glalie,80,120,80,120,80,100,0
399,Spheal,70,40,50,55,50,25,0
400,Sealeo,90,60,70,75,70,45,0
401,Walrein,110,80,90,95,90,65,0
402,Clamperl,35,64,85,74,55,32,0
403,Huntail,55,104,105,94,75,52,0
404,Gorebyss,55,84,105,114,75,52,0
405,Relicanth,100,90,130,45,65,55,0
406,Luvdisc,43,30,55,40,65,97,0
407,Bagon,45,75,60,40,30,50,0
408,Shelgon,65,95,100,60,50,50,0
409,Salamence,95,135,80,110,80,100,0
410,Mega Salamence,95,145,130,120,90,120,0
411,Beldum,40,55,80,35,60,30,0
412,Metang,60,75,100,55,80,50,0
413,Metagross,80,135,130,95,90,70,0
414,Mega Metagross,80,145,150,105,110,110,0
415,Regirock,80,100,200,50,100,50,1
416,Regice,80,50,100,100,200,50,1
417,Registeel,80,75,150,75,150,50,1
418,Latias,80,80,90,110,130,110,1
419,Mega Latias,80,100,120,140,150,110,1
420,Latios,80,90,80,130,110,110,1
421,Mega Latios,80,130,100,160,120,110,1
422,Kyogre,100,100,90,150,140,90,1
423,Primal Kyogre,100,150,90,180,160,90,1
424,Groudon,100,150,140,100,90,90,1
425,Primal Groudon,100,180,160,150,90,90,1
426,Rayquaza,105,150,90,150,90,95,1
427,Mega Rayquaza,105,180,100,180,100,115,1
428,Jirachi,100,100,100,100,100,100,1
429,Deoxys Normal Forme,50,150,50,150,50,150,1
430,DeoxysAttack Forme,50,180,20,180,20,150,1
431,Deoxys Defense Forme,50,70,160,70,160,90,1
432,Deoxys Speed Forme,50,95,90,95,90,180,1
433,Turtwig,55,68,64,45,55,31,0
434,Grotle,75,89,85,55,65,36,0
435,Torterra,95,109,105,75,85,56,0
436,Chimchar,44,58,44,58,44,61,0
437,Monferno,64,78,52,78,52,81,0
438,Infernape,76,104,71,104,71,108,0
439,Piplup,53,51,53,61,56,40,0
440,Prinplup,64,66,68,81,76,50,0
441,Empoleon,84,86,88,111,101,60,0
442,Starly,40,55,30,30,30,60,0
443,Staravia,55,75,50,40,40,80,0
444,Staraptor,85,120,70,50,60,100,0
445,Bidoof,59,45,40,35,40,31,0
446,Bibarel,79,85,60,55,60,71,0
447,Kricketot,37,25,41,25,41,25,0
448,Kricketune,77,85,51,55,51,65,0
449,Shinx,45,65,34,40,34,45,0
450,Luxio,60,85,49,60,49,60,0
451,Luxray,80,120,79,95,79,70,0
452,Budew,40,30,35,50,70,55,0
453,Roserade,60,70,65,125,105,90,0
454,Cranidos,67,125,40,30,30,58,0
455,Rampardos,97,165,60,65,50,58,0
456,Shieldon,30,42,118,42,88,30,0
457,Bastiodon,60,52,168,47,138,30,0
458,Burmy,40,29,45,29,45,36,0
459,Wormadam Plant Cloak,60,59,85,79,105,36,0
460,Wormadam Sandy Cloak,60,79,105,59,85,36,0
461,Wormadam Trash Cloak,60,69,95,69,95,36,0
462,Mothim,70,94,50,94,50,66,0
463,Combee,30,30,42,30,42,70,0
464,Vespiquen,70,80,102,80,102,40,0
465,Pachirisu,60,45,70,45,90,95,0
466,Buizel,55,65,35,60,30,85,0
467,Floatzel,85,105,55,85,50,115,0
468,Cherubi,45,35,45,62,53,35,0
469,Cherrim,70,60,70,87,78,85,0
470,Shellos,76,48,48,57,62,34,0
471,Gastrodon,111,83,68,92,82,39,0
472,Ambipom,75,100,66,60,66,115,0
473,Drifloon,90,50,34,60,44,70,0
474,Drifblim,150,80,44,90,54,80,0
475,Buneary,55,66,44,44,56,85,0
476,Lopunny,65,76,84,54,96,105,0
477,Mega Lopunny,65,136,94,54,96,135,0
478,Mismagius,60,60,60,105,105,105,0
479,Honchkrow,100,125,52,105,52,71,0
480,Glameow,49,55,42,42,37,85,0
481,Purugly,71,82,64,64,59,112,0
482,Chingling,45,30,50,65,50,45,0
483,Stunky,63,63,47,41,41,74,0
484,Skuntank,103,93,67,71,61,84,0
485,Bronzor,57,24,86,24,86,23,0
486,Bronzong,67,89,116,79,116,33,0
487,Bonsly,50,80,95,10,45,10,0
488,Mime Jr.,20,25,45,70,90,60,0
489,Happiny,100,5,5,15,65,30,0
490,Chatot,76,65,45,92,42,91,0
491,Spiritomb,50,92,108,92,108,35,0
492,Gible,58,70,45,40,45,42,0
493,Gabite,68,90,65,50,55,82,0
494,Garchomp,108,130,95,80,85,102,0
495,Mega Garchomp,108,170,115,120,95,92,0
496,Munchlax,135,85,40,40,85,5,0
497,Riolu,40,70,40,35,40,60,0
498,Lucario,70,110,70,115,70,90,0
499,Mega Lucario,70,145,88,140,70,112,0
500,Hippopotas,68,72,78,38,42,32,0
501,Hippowdon,108,112,118,68,72,47,0
502,Skorupi,40,50,90,30,55,65,0
503,Drapion,70,90,110,60,75,95,0
504,Croagunk,48,61,40,61,40,50,0
505,Toxicroak,83,106,65,86,65,85,0
506,Carnivine,74,100,72,90,72,46,0
507,Finneon,49,49,56,49,61,66,0
508,Lumineon,69,69,76,69,86,91,0
509,Mantyke,45,20,50,60,120,50,0
510,Snover,60,62,50,62,60,40,0
511,Abomasnow,90,92,75,92,85,60,0
512,Mega Abomasnow,90,132,105,132,105,30,0
513,Weavile,70,120,65,45,85,125,0
514,Magnezone,70,70,115,130,90,60,0
515,Lickilicky,110,85,95,80,95,50,0
516,Rhyperior,115,140,130,55,55,40,0
517,Tangrowth,100,100,125,110,50,50,0
518,Electivire,75,123,67,95,85,95,0
519,Magmortar,75,95,67,125,95,83,0
520,Togekiss,85,50,95,120,115,80,0
521,Yanmega,86,76,86,116,56,95,0
522,Leafeon,65,110,130,60,65,95,0
523,Glaceon,65,60,110,130,95,65,0
524,Gliscor,75,95,125,45,75,95,0
525,Mamoswine,110,130,80,70,60,80,0
526,Porygon-Z,85,80,70,135,75,90,0
527,Gallade,68,125,65,65,115,80,0
528,Mega Gallade,68,165,95,65,115,110,0
529,Probopass,60,55,145,75,150,40,0
530,Dusknoir,45,100,135,65,135,45,0
531,Froslass,70,80,70,80,70,110,0
532,Rotom,50,50,77,95,77,91,0
533,Heat Rotom,50,65,107,105,107,86,0
534,Wash Rotom,50,65,107,105,107,86,0
535,Frost Rotom,50,65,107,105,107,86,0
536,Fan Rotom,50,65,107,105,107,86,0
537,Mow Rotom,50,65,107,105,107,86,0
538,Uxie,75,75,130,75,130,95,1
539,Mesprit,80,105,105,105,105,80,1
540,Azelf,75,125,70,125,70,115,1
541,Dialga,100,120,120,150,100,90,1
542,Palkia,90,120,100,150,120,100,1
543,Heatran,91,90,106,130,106,77,1
544,Regigigas,110,160,110,80,110,100,1
545,Giratina Altered Forme,150,100,120,100,120,90,1
546,Giratina Origin Forme,150,120,100,120,100,90,1
547,Cresselia,120,70,120,75,130,85,0
548,Phione,80,80,80,80,80,80,0
549,Manaphy,100,100,100,100,100,100,0
550,Darkrai,70,90,90,135,90,125,1
551,Shaymin Land Forme,100,100,100,100,100,100,1
552,Shaymin Sky Forme,100,103,75,120,75,127,1
553,Arceus,120,120,120,120,120,120,1
554,Victini,100,100,100,100,100,100,1
555,Snivy,45,45,55,45,55,63,0
556,Servine,60,60,75,60,75,83,0
557,Serperior,75,75,95,75,95,113,0
558,Tepig,65,63,45,45,45,45,0
559,Pignite,90,93,55,70,55,55,0
560,Emboar,110,123,65,100,65,65,0
561,Oshawott,55,55,45,63,45,45,0
562,Dewott,75,75,60,83,60,60,0
563,Samurott,95,100,85,108,70,70,0
564,Patrat,45,55,39,35,39,42,0
565,Watchog,60,85,69,60,69,77,0
566,Lillipup,45,60,45,25,45,55,0
567,Herdier,65,80,65,35,65,60,0
568,Stoutland,85,110,90,45,90,80,0
569,Purrloin,41,50,37,50,37,66,0
570,Liepard,64,88,50,88,50,106,0
571,Pansage,50,53,48,53,48,64,0
572,Simisage,75,98,63,98,63,101,0
573,Pansear,50,53,48,53,48,64,0
574,Simisear,75,98,63,98,63,101,0
575,Panpour,50,53,48,53,48,64,0
576,Simipour,75,98,63,98,63,101,0
577,Munna,76,25,45,67,55,24,0
578,Musharna,116,55,85,107,95,29,0
579,Pidove,50,55,50,36,30,43,0
580,Tranquill,62,77,62,50,42,65,0
581,Unfezant,80,115,80,65,55,93,0
582,Blitzle,45,60,32,50,32,76,0
583,Zebstrika,75,100,63,80,63,116,0
584,Roggenrola,55,75,85,25,25,15,0
585,Boldore,70,105,105,50,40,20,0
586,Gigalith,85,135,130,60,80,25,0
587,Woobat,55,45,43,55,43,72,0
588,Swoobat,67,57,55,77,55,114,0
589,Drilbur,60,85,40,30,45,68,0
590,Excadrill,110,135,60,50,65,88,0
591,Audino,103,60,86,60,86,50,0
592,Mega Audino,103,60,126,80,126,50,0
593,Timburr,75,80,55,25,35,35,0
594,Gurdurr,85,105,85,40,50,40,0
595,Conkeldurr,105,140,95,55,65,45,0
596,Tympole,50,50,40,50,40,64,0
597,Palpitoad,75,65,55,65,55,69,0
598,Seismitoad,105,95,75,85,75,74,0
599,Throh,120,100,85,30,85,45,0
600,Sawk,75,125,75,30,75,85,0
601,Sewaddle,45,53,70,40,60,42,0
602,Swadloon,55,63,90,50,80,42,0
603,Leavanny,75,103,80,70,80,92,0
604,Venipede,30,45,59,30,39,57,0
605,Whirlipede,40,55,99,40,79,47,0
606,Scolipede,60,100,89,55,69,112,0
607,Cottonee,40,27,60,37,50,66,0
608,Whimsicott,60,67,85,77,75,116,0
609,Petilil,45,35,50,70,50,30,0
610,Lilligant,70,60,75,110,75,90,0
611,Basculin,70,92,65,80,55,98,0
612,Sandile,50,72,35,35,35,65,0
613,Krokorok,60,82,45,45,45,74,0
614,Krookodile,95,117,80,65,70,92,0
615,Darumaka,70,90,45,15,45,50,0
616,Darmanitan Standard Mode,105,140,55,30,55,95,0
617,Darmanitan Zen Mode,105,30,105,140,105,55,0
618,Maractus,75,86,67,106,67,60,0
619,Dwebble,50,65,85,35,35,55,0
620,Crustle,70,95,125,65,75,45,0
621,Scraggy,50,75,70,35,70,48,0
622,Scrafty,65,90,115,45,115,58,0
623,Sigilyph,72,58,80,103,80,97,0
624,Yamask,38,30,85,55,65,30,0
625,Cofagrigus,58,50,145,95,105,30,0
626,Tirtouga,54,78,103,53,45,22,0
627,Carracosta,74,108,133,83,65,32,0
628,Archen,55,112,45,74,45,70,0
629,Archeops,75,140,65,112,65,110,0
630,Trubbish,50,50,62,40,62,65,0
631,Garbodor,80,95,82,60,82,75,0
